Introduction/Consent,Q-PartyAffiliation,Q-PartyAffiliation_4_TEXT,Q-PolarAffiliation,Q-MiddleAffiliation,Q-DemThreat,Q-FeelingTherm_1,Q-FeelingTherm_2,Q-AffPolarization,Event1_Prob_Pre_1,Event2_Prob_Pre_1,Event3_Prob_Pre_1,Event4_Prob_Pre_1,Attention Check_1,Prior_awareness,Prior_participation,redistrict_c_time _First Click,redistrict_c_time _Last Click,redistrict_c_time _Page Submit,redistrict_c_time _Click Count,redistrict_t_time_First Click,redistrict_t_time_Last Click,redistrict_t_time_Page Submit,redistrict_t_time_Click Count,rallies_c_time_First Click,rallies_c_time_Last Click,rallies_c_time_Page Submit,rallies_c_time_Click Count,rallies_t_time_First Click,rallies_t_time_Last Click,rallies_t_time_Page Submit,rallies_t_time_Click Count,investigate_t_time_First Click,investigate_t_time_Last Click,investigate_t_time_Page Submit,investigate_t_time_Click Count,media_c_time_First Click,media_c_time_Last Click,media_c_time_Page Submit,media_c_time_Click Count,media_t_time_First Click,media_t_time_Last Click,media_t_time_Page Submit,media_t_time_Click Count,courts_c_time_First Click,courts_c_time_Last Click,courts_c_time_Page Submit,courts_c_time_Click Count,courts_t_time_First Click,courts_t_time_Last Click,courts_t_time_Page Submit,courts_t_time_Click Count,Q-InLawDist,Q-CloseFriendDist,Q-Social Distance 3,Q-ReElection,Q-AttentionCheck,Q-Manipulation Check,Event1_Prob_Post_1...59,Event2_Prob_Post_1...60,Event3_Prob_Post_1...61,Event4_Prob_Post_1...62,Event1_Prob_Post_1...63,Event2_Prob_Post_1...64,Event3_Prob_Post_1...65,Event4_Prob_Post_1...66,Event1_Prob_Post_1...67,Event2_Prob_Post_1...68,Event3_Prob_Post_1...69,Event4_Prob_Post_1...70,ParticipantId,assignmentId,projectId,Market_Price_m_kxcpi-26apr,Market_Price_m_kxpayrolls-26apr,Market_Price_m_controls-2026,Market_Price_m_kxiceero-26mar,Market_Price_m_kxpayrolls-26may,order_first,Treat_Party,Treat_Frame,InParty,OutParty,InPartyNoun,OutPartyNoun,GovParty,GovPartyNoun,frame_topic,Treatment,StartTime (America/Denver),CompletionTime (America/Denver),CompletionType,CompletionCode,Payment,Bonus,Fees,Status,QueryString,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status
"Yes, I consent to participate.",Republican,NA,Strong,NA,Prosecuting journalists for unfair news coverage,70,50,Very important,80,25,50,80,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.499,29.72,31.346,7,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat comfortable,Comfortable,Very comfortable,Neither likely nor unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,52,48,50,88,NA,NA,NA,NA,9A37C4F584354830BA6D6FFEE1A3149E,019dfb67-8d91-725b-8aeb-129a6f7d55af,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,Republican,media,1,05/05/2026 09:49:20 PM,05/05/2026 09:54:32 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,44,"Associate degree (for example: AA, AS)",Female,Medicine,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$60,000-$69,999",White,Full-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Directing law enforcement to investigate politicians of the opposing party,20,66,Very important,35,76,85,25,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat uncomfortable,Comfortable,Somewhat comfortable,Likely,Not specified,The governor took action to pursue a specific policy outcome.,NA,NA,NA,NA,45,60,80,95,NA,NA,NA,NA,6AF45FDE2BF24C7B95EB1695F5093FE4,019dfb67-7e8a-7b04-9d01-deb611ff63a1,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,OW,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,investigate,1,05/05/2026 09:49:17 PM,05/05/2026 09:54:42 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,56,"Bachelor's degree (for example: BA, AB, BS)",Male,Medicine,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$50,000-$59,999",White,Full-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,43,80,Important,23,20,7,35,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.894,1.894,13.247,1,NA,NA,NA,NA,Somewhat comfortable,Somewhat comfortable,Comfortable,Likely,Not specified,The governor took action to pursue a specific policy outcome.,28,31,14,31,NA,NA,NA,NA,NA,NA,NA,NA,6A395F5000A4405EAFE83456110F2879,019dfb64-bdf2-790f-ba90-7f4b22ed04c8,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,courts,0,05/05/2026 09:46:16 PM,05/05/2026 09:54:47 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,58,"Some college, but no degree",Female,Retail,Widowed,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$40,000-$49,999",White,Full-time
"Yes, I consent to participate.",Republican,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,81,28,Important,6,21,5,37,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.636,25.808,31.427,17,Uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Somewhat unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,7,12,5,38,NA,NA,NA,NA,NA,NA,NA,NA,43AD75CE951840A2A1DA5F1452CFEF76,019dfb68-fc25-721e-ad73-96bfde604650,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,OW,InParty,Electoral,Republican,Democratic,Republican,Democrat,Republican,Republican,courts,0,05/05/2026 09:50:54 PM,05/05/2026 09:54:53 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,44,High school graduate - high school diploma or the equivalent (for example: GED),Female,Social Sciences,In a relationship,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$30,000-$39,999",White,Full-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Manipulating geographic boundaries of election districts,25,80,Very important,50,20,55,40,64,Yes,No,0,0,11.859,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very uncomfortable,Uncomfortable,Neither comfortable nor uncomfortable,Somewhat likely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,50,0,55,40,NA,NA,NA,NA,NA,NA,NA,NA,E2F997FC3A9F41A4AACF430B0916750F,019dfb68-da6b-7efa-b388-a8f9728694e8,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,redistrict,0,05/05/2026 09:50:46 PM,05/05/2026 09:54:56 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,19,High school graduate - high school diploma or the equivalent (for example: GED),Female,Retail,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,Prefer not to say,White,Part-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Prosecuting journalists for unfair news coverage,2,55,Somewhat unimportant,83,23,45,44,64,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.61,6.211,1,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Uncomfortable,Somewhat uncomfortable,Very unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,74,26,45,58,NA,NA,NA,NA,B0AB5FCE66DD464DADDF35067B4C1744,019dfb68-d706-7ba8-8476-c8d8b6a4ec91,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,OW,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,media,1,05/05/2026 09:50:45 PM,05/05/2026 09:55:02 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,23,"Some college, but no degree",Male,Finance,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$100,000-$124,999",White,Full-time
"Yes, I consent to participate.",Independent,NA,NA,Closer to Democratic Party,Prosecuting journalists for unfair news coverage,62,77,Important,31,66,22,38,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.425,44.073,47.26,9,NA,NA,NA,NA,NA,NA,NA,NA,Neither comfortable nor uncomfortable,Somewhat comfortable,Very comfortable,Somewhat likely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,35,59,18,37,NA,NA,NA,NA,NA,NA,NA,NA,625A2852183B4EEF910FB0F317BC54BB,019dfb68-69cf-7e89-a781-1f76af4a88d6,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,media,0,05/05/2026 09:50:17 PM,05/05/2026 09:55:13 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,47,High school graduate - high school diploma or the equivalent (for example: GED),Male,Manufacturing,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$20,000-$29,999",White,Full-time
"Yes, I consent to participate.",Independent,NA,NA,Neither,Restructuring the state’s highest court to favor the party in power,0,0,Very important,50,11,50,39,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.978,14.133,22.35,3,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Neither likely nor unlikely,Democrat,The governor took action to pursue a specific policy outcome.,NA,NA,NA,NA,50,24,50,50,NA,NA,NA,NA,3F38F252286247618485E879DFAFAD45,019dfb67-a05d-77b8-a87e-f70b0478e7d6,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,courts,1,05/05/2026 09:49:25 PM,05/05/2026 09:55:37 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,43,"Bachelor's degree (for example: BA, AB, BS)",Male,Hospitality & Tourism,In a relationship,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$20,000-$29,999",White,Full-time
"Yes, I consent to participate.",Independent,NA,NA,Closer to Democratic Party,Directing law enforcement to investigate politicians of the opposing party,41,60,Neither important nor unimportant,83,21,36,27,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.061,19.388,28.471,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat uncomfortable,Somewhat comfortable,Comfortable,Somewhat unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,78,14,14,25,88410C7EFBB14959A9F75653E81D3AA8,019dfb67-34aa-7bc1-afc9-7128f4cee74e,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,OW,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,investigate,3,05/05/2026 09:48:58 PM,05/05/2026 09:55:43 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,40,"Bachelor's degree (for example: BA, AB, BS)",Female,Education & Training,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$125,000-$149,999",White,Full-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Manipulating geographic boundaries of election districts,10,80,Very important,50,5,10,20,64,No,No,3.017,5.793,25.601,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither likely nor unlikely,Democrat,The governor took action in an effort to reshape democratic norms and institutions.,50,5,10,20,NA,NA,NA,NA,NA,NA,NA,NA,0E6A0809EAC74B26A2189FD29C4B0979,019dfb67-bcba-7a28-945a-3cb077978ff6,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,OW,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,redistrict,0,05/05/2026 09:49:32 PM,05/05/2026 09:55:45 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,38,High school graduate - high school diploma or the equivalent (for example: GED),Female,Other,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$50,000-$59,999",White,Part-time
"Yes, I consent to participate.",Democrat,NA,Not very strong,NA,Manipulating geographic boundaries of election districts,92,91,Neither important nor unimportant,50,68,50,49,64,Yes,No,0,0,16.528,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comfortable,Comfortable,Comfortable,Neither likely nor unlikely,Not specified,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,77,5681291CFD504B62A74D1B4DA499EC9C,019dfb68-979d-7111-ad3f-c48f03a2087e,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,Control,Control,Democratic,Republican,Democrat,Republican,NA,NA,redistrict,2,05/05/2026 09:50:29 PM,05/05/2026 09:55:52 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,39,Less than a high school diploma,Male,Other,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$10,000-$19,999",White,Part-time
"Yes, I consent to participate.",Republican,NA,Strong,NA,Manipulating geographic boundaries of election districts,100,0,Important,52,19,72,65,64,No,No,3.806,3.806,13.972,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither likely nor unlikely,Not specified,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,52,19,70,65,NA,NA,NA,NA,NA,NA,NA,NA,635EC2A1964344FE93620483820E4305,019dfb69-e48d-7f20-8ed0-41ee6d156a8d,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,Control,Control,Republican,Democratic,Republican,Democrat,NA,NA,redistrict,0,05/05/2026 09:51:54 PM,05/05/2026 09:56:02 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,54,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Male,Legal,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$125,000-$149,999",White,Full-time
"Yes, I consent to participate.",Republican,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,59,34,Very important,60,33,60,26,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.569,32.588,40.901,5,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Neither likely nor unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,NA,NA,NA,NA,42,33,62,70,480624F7D2124687AD60694DFA6D7702,019dfb64-85e9-70e1-9112-4d8b4bb12fab,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,OW,InParty,Policy,Republican,Democratic,Republican,Democrat,Republican,Republican,courts,2,05/05/2026 09:46:02 PM,05/05/2026 09:56:02 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,32,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Finance,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$100,000-$124,999",White,Full-time
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Restructuring the state’s highest court to favor the party in power,21,75,Very important,56,30,67,43,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,48.777,0,Somewhat uncomfortable,Somewhat uncomfortable,Somewhat comfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,NA,NA,NA,NA,51,38,54,68,NA,NA,NA,NA,7B836709F4424F9798E9BEFC760CA65E,019dfb67-fadd-7236-97d1-6699e7635983,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,OutParty,Electoral,Democratic,Republican,Democrat,Republican,Republican,Republican,courts,1,05/05/2026 09:49:48 PM,05/05/2026 09:56:09 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,46,"Some college, but no degree",Female,Retail,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$70,000-$79,999",White,Full-time
"Yes, I consent to participate.",Republican,NA,Not very strong,NA,Manipulating geographic boundaries of election districts,65,40,Important,40,20,80,40,64,Yes,No,0.941,9.421,16.388,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat comfortable,Comfortable,Comfortable,Somewhat likely,Not specified,The governor took action in an effort to reshape democratic norms and institutions.,40,30,80,40,NA,NA,NA,NA,NA,NA,NA,NA,0403619B5ED848A0A79ABA081779E95B,019dfb6a-5d5e-78cc-a275-640acf12435b,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,Control,Control,Republican,Democratic,Republican,Democrat,NA,NA,redistrict,0,05/05/2026 09:52:25 PM,05/05/2026 09:56:14 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,29,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Education & Training,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$60,000-$69,999",White,Full-time
"Yes, I consent to participate.",Independent,NA,NA,Neither,Banning political rallies,30,30,Important,50,30,48,50,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05,37.876,39.127,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very comfortable,Very Comfortable,Very comfortable,Very unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50,0B7EA3BD810140FCA3ACD39A85FC2352,019dfb69-9140-7029-b22c-99964f11b863,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,OW,OutParty,Democracy,Democratic,Republican,Democrat,Republican,Republican,Republican,rallies,2,05/05/2026 09:51:32 PM,05/05/2026 09:56:50 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,46,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Business Management & Administration,In a relationship,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$70,000-$79,999",White,Full-time
"Yes, I consent to participate.",Independent,NA,NA,Closer to Republican Party,Banning political rallies,10,0,Neither important nor unimportant,100,0,0,30,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13.432,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Unlikely,Democrat,The governor took action to pursue a specific policy outcome.,100,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,267E6DD1BEE049BE916CC50C2F755ED2,019dfb6a-fb97-7046-a468-b085546b793b,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,OutParty,Policy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,rallies,0,05/05/2026 09:53:05 PM,05/05/2026 09:56:52 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,34,"Some college, but no degree",Female,Retail,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$100,000-$124,999",White,Full-time
"Yes, I consent to participate.",Democrat,NA,Not very strong,NA,Manipulating geographic boundaries of election districts,20,60,Neither important nor unimportant,50,0,9,85,64,Yes,No,NA,NA,NA,NA,9.069,9.069,17.773,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very comfortable,Comfortable,Very comfortable,Somewhat likely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,50,19,17,87,9A07D92FA3774B5AA8B154A072559A9B,019dfb64-93d5-754a-b5f9-0266c0080263,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,redistrict,3,05/05/2026 09:46:05 PM,05/05/2026 09:56:55 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,45,"Bachelor's degree (for example: BA, AB, BS)",Male,Manufacturing,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$100,000-$124,999",White,Full-time
"Yes, I consent to participate.",Independent,NA,NA,Closer to Democratic Party,Directing law enforcement to investigate politicians of the opposing party,0,60,Very important,70,56,33,52,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.081,47.736,171.502,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comfortable,Somewhat comfortable,Comfortable,Very unlikely,Democrat,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,50,55,66,52,NA,NA,NA,NA,17F76C77FFDA4939A5241C48FD944FF7,019dfb61-377c-7dc5-9d17-3f8a001e8228,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,InParty,Democracy,Democratic,Republican,Democrat,Republican,Democratic,Democrat,investigate,1,05/05/2026 09:42:25 PM,05/05/2026 09:57:00 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,73,"Bachelor's degree (for example: BA, AB, BS)",Female,Information Technology,Widowed,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$40,000-$49,999",White,Retired
"Yes, I consent to participate.",Republican,NA,Strong,NA,Directing law enforcement to investigate politicians of the opposing party,79,6,Neither important nor unimportant,50,50,50,50,64,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.246,40.784,41.623,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very uncomfortable,Very uncomfortable,Neither comfortable nor uncomfortable,Neither likely nor unlikely,Not specified,The governor took action to pursue a specific policy outcome.,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,195E03D1CEBE4E4AB1C5C8156D0A3C59,019dfb69-866d-748a-835a-ebe38110b41b,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,Mehlhaff,OutParty,Democracy,Republican,Democratic,Republican,Democrat,Democratic,Democrat,investigate,0,05/05/2026 09:51:30 PM,05/05/2026 09:57:28 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,57,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"Less than $10,000",White,Unemployed
"Yes, I consent to participate.",Democrat,NA,Not very strong,NA,Restructuring the state’s highest court to favor the party in power,5,90,Very important,50,25,80,85,64,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,33.2,0,Uncomfortable,Neither comfortable nor uncomfortable,Uncomfortable,Very unlikely,Republican,The governor took action in an effort to reshape democratic norms and institutions.,50,25,80,85,NA,NA,NA,NA,NA,NA,NA,NA,DD9E265AB90F4D879325E2508C3DF669,019dfb68-7593-7679-8e4b-5b2f610ff6fb,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,OW,OutParty,Democracy,Democratic,Republican,Democrat,Republican,Republican,Republican,courts,0,05/05/2026 09:50:20 PM,05/05/2026 09:57:31 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,40,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$50,000-$59,999",White,"Not in paid work (e.g., homemaker, disabled)"
"Yes, I consent to participate.",Democrat,NA,Strong,NA,Manipulating geographic boundaries of election districts,38,86,Somewhat important,34,41,54,58,64,Yes,No,NA,NA,NA,NA,6.224,18.719,25.267,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat uncomfortable,Somewhat comfortable,Somewhat comfortable,Unlikely,Republican,The governor took action to gain an electoral advantage or to respond to similar actions taken by the other party in the past.,NA,NA,NA,NA,NA,NA,NA,NA,48,46,55,68,6EDE52107D6749A480FEBCA166F8AD08,019dfb68-ebb8-71cf-90a4-0f4184e4fee3,019de1ab-afed-72b0-99bf-23a6aa89592d,0.525,0.475,0.555,0.885,NA,OW,OutParty,Democracy,Democratic,Republican,Democrat,Republican,Republican,Republican,redistrict,3,05/05/2026 09:50:50 PM,05/05/2026 09:57:39 PM,Redirect,929B340BD7,1.5,0,0.38,Approved,NA,40,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Finance,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$90,000-$99,999",White,Full-time
